Year,Country,waste,population,rural,urban,growth,secondaryeduc,primaryeduc,noeduc,tourism,,,,,,
1970,Cyprus,,613621,3960,2280.400391,,,,,,,,,,,
1971,Cyprus,1.55341856,620859,3940,2280.400391,,42305,69160,6968978,,,,,,,
1972,Cyprus,1.222005203,628002,3942,2280.400391,,45041,66027,7001970,,,,,,,
1973,Cyprus,1.166570753,635111,2870,2280.400391,,48069,64186,7022709,,,,,,,
1974,Cyprus,0.691412977,642339,1803,2280.400391,,49668,63446,7209039,,,,,,,
1975,Cyprus,1.107914051,649755,1779,2280.400391,,46800,56649,7429249,,,,,,,
1976,Cyprus,1.207595912,657534,1761,2280.400391,21.24487234,49373,56602,7597279,221134,,,,,,
1977,Cyprus,1.108778623,665528,1743,2280.400391,16.3479758,50633,55366,7808158,,,,,,,
1978,Cyprus,1.079706878,673251,1725,2280.400391,7.378347628,49358,55166,7861641,,,,,,,
1979,Cyprus,1.023140552,680011,1715,2280.400391,9.054349603,48886,54309,8178609,279356,,,,,,
1980,Cyprus,0.723646243,685406,1759,2280.400391,4.610640152,48797,50579,8112536,,,,,,,
1981,Cyprus,0.708724567,689173,1820,2280.400391,0.828826187,47599,48701,8506072,521566,,,,,,
1982,Cyprus,0.697235504,691702,1830,2280.400391,4.774511459,48881,46095,8518283,530854,,,,,,
1983,Cyprus,0.645182178,694077,1820,2280.400391,4.715044666,48527,46198,8591267,669547,,,,,,
1984,Cyprus,0.714345879,697717,1628,2280.400391,7.357755273,49274,46653,8717469,741474,,,,,,
1985,Cyprus,0.732306755,703687,1632,2280.400391,3.615236622,48752,47381,8793763,465168,,,,,,
1986,Cyprus,0.64730643,712341,1624,2280.400391,2.52140639,46159,50990,8925959,528936,,,,,,
1987,Cyprus,0.548968961,723380,1614,2280.400391,5.907273388,44308,54254,9204168,520126,,,,,,
1988,Cyprus,0.4975799,736479,1614,2280.400391,7.500785644,42191,56530,9601322,352038,,,,,,
1989,Cyprus,0.478127153,751044,1606,2280.400391,6.419510629,42613,58720,9972571,224699,,,,,,
1990,Cyprus,0.449560183,766614,1592,2280.400391,5.13996947,43219,60841,10284861,145631,,,,,,
1991,Cyprus,0.397672539,783129,1596,2280.400391,-1.834742759,44614,62962,10427077,,,,,,,
1992,Cyprus,0.350203063,800609,1587,2280.400391,6.527834909,47908,63454,10517932,434945,,,,,,
1993,Cyprus,0.324811462,818751,1434,2280.400391,-1.70262778,51641,64313,10674073,538332,,,,,,
1994,Cyprus,0.722888185,837110,1431,2280.400391,3.732201086,54687,64907,10731453,715674,,,,,,
1995,Cyprus,0.805084571,855384,1432,2280.400391,6.5193588,57804,64884,10910876,,,,,,,
1996,Cyprus,0.705085242,873423,1422,2280.400391,-0.2692888,59845,64660,11541570,459020,,,,,,
1997,Cyprus,0.622371358,891192,1442,2280.400391,1.12199773,61266,64761,11847794,,,,,,,
1998,Cyprus,0.605648741,908704,1442,2280.400391,3.953117531,,,12225038,926055,,,,,,
1999,Cyprus,0.554645604,926050,1415,2280.400391,3.662073532,63050,64248,12502524,1269275,,,,,,
2000,Cyprus,0.478956787,943286,1400,2280.400391,4.605801516,63677,63952,12707788,,,,,,,
2001,Cyprus,0.545114427,960282,1400,2280.400391,2.489999696,64065,63637,12759918,1218528,,,,,,
2002,Cyprus,0.581901017,976966,1540,2280.400391,2.220905652,63871,63717,12826218,1180275,,,,,,
